Crime ID,Offense Datetime,Reported Datetime,UCR Incident Code,Block,Street Name,Street_Address,City,State,ZIP Code,Full_Address,Latitude,Longitude,UCR Category,UCR Description,NIBRS Group,NIBRS Offense Group,Ward,Precinct,ObjectId,x,y
2604027595ME,4/22/2026 7:00:00 PM,4/22/2026 7:58:00 PM,13B,2800,GOODLETT RD,2800 GOODLETT RD,MEMPHIS,TN,38118,2800 GOODLETT RD MEMPHIS TN 38118,35.071,-89.921,ASSAULT,SIMPLE ASSAULT,A,CRIMES AGAINST PERSONS,321,MT MORIAH,721020,-10009959.931622,4173533.95134032
2604027463ME,4/22/2026 1:00:00 PM,4/22/2026 1:38:00 PM,290,600,GRAHAM ST,600 GRAHAM ST,MEMPHIS,TN,38111,600 GRAHAM ST MEMPHIS TN 38111,35.112,-89.928,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,A,CRIMES AGAINST PROPERTY,521,TILLMAN,721021,-10010739.1680575,4179111.9322971
2604027799ME,4/23/2026 6:35:00 AM,4/23/2026 6:47:00 AM,290,200,HOLLYWOOD ST,200 HOLLYWOOD ST,MEMPHIS,TN,38112,200 HOLLYWOOD ST MEMPHIS TN 38112,35.143,-89.979,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,A,CRIMES AGAINST PROPERTY,523,TILLMAN,721023,-10016416.462088,4183331.29348874
2604027811ME,4/23/2026 7:30:00 AM,4/23/2026 8:05:00 AM,23H,4400,SUNCREST DR,4400 SUNCREST DR,MEMPHIS,TN,38127,4400 SUNCREST DR MEMPHIS TN 38127,35.248,-89.978,LARCENY/THEFT,ALL OTHER LARCENY,A,CRIMES AGAINST PROPERTY,123,AUSTIN PEAY,721024,-10016305.1425972,4197634.63467402
2604026940ME,4/20/2026 10:20:00 PM,4/20/2026 11:18:00 PM,13B,900,N SIXTH ST,900 N SIXTH ST,MEMPHIS,TN,38107,900 N SIXTH ST MEMPHIS TN 38107,35.167,-90.039,ASSAULT,SIMPLE ASSAULT,A,CRIMES AGAINST PERSONS,625,NORTH MAIN,721025,-10023095.6315356,4186598.99945157
2604027366ME,4/22/2026 1:00:00 AM,4/22/2026 1:48:00 AM,23C,2900,PARK AVE,2900 PARK AVE,MEMPHIS,TN,38114,2900 PARK AVE MEMPHIS TN 38114,35.107,-89.963,LARCENY/THEFT,SHOPLIFTING,A,CRIMES AGAINST PROPERTY,726,AIRWAYS,721026,-10014635.3502353,4178431.54053223
2604027634ME,4/22/2026 1:00:00 AM,4/22/2026 9:27:00 PM,290,800,SPRINGDALE RUN DR,800 SPRINGDALE RUN DR,MEMPHIS,TN,38108,800 SPRINGDALE RUN DR MEMPHIS TN 38108,35.159,-89.974,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,A,CRIMES AGAINST PROPERTY,426,CRUMP,721028,-10015859.864634,4185509.65701753
2604027711ME,4/23/2026 12:05:00 AM,4/23/2026 12:15:00 AM,35A,0,PARK AVE//GRAND ST, PARK AVE//GRAND ST,MEMPHIS,TN,38114, PARK AVE//GRAND ST MEMPHIS TN 38114,35.108,-89.982,DRUG/NARCOTIC,DRUG/NARCOTIC VIOLS,A,CRIMES AGAINST SOCIETY,726,AIRWAYS,721030,-10016750.4205603,4178567.61554573
2604027609ME,4/22/2026 7:50:00 PM,4/22/2026 8:37:00 PM,23C,1700,SYCAMORE VIEW RD,1700 SYCAMORE VIEW RD,MEMPHIS,TN,38134,1700 SYCAMORE VIEW RD MEMPHIS TN 38134,35.174,-89.869,LARCENY/THEFT,SHOPLIFTING,A,CRIMES AGAINST PROPERTY,822,APPLING FARMS,721031,-10004171.3181007,4187552.26199239
2604027607ME,4/21/2026 10:30:00 PM,4/22/2026 8:33:00 PM,13C,8500,AFTERGLOW CV,8500 AFTERGLOW CV,CORDOVA,TN,38018,8500 AFTERGLOW CV CORDOVA TN 38018,35.148,-89.778,ASSAULT,INTIMIDATION,A,CRIMES AGAINST PERSONS,824,APPLING FARMS,721032,-9994041.24443852,4184011.98608072
